,Date,Tweets
0,2023-04-23,"RT @NFTHolders_org: $50 - 12 HOURS 💵

- RT/Like &amp; Join https://t.co/d8byyAvJZS

#Cashgiveaway #Airdrop #BUSD #USDT #USDC #Giveaway #NFTGive…"
1,2023-04-23,"RT @NFTHolders_org: $50 - 12 HOURS 💵

- RT/Like &amp; Join https://t.co/d8byyAvJZS

#Cashgiveaway #Airdrop #BUSD #USDT #USDC #Giveaway #NFTGive…"
2,2023-04-23,"RT @NFTHolders_org: $50 - 12 HOURS 💵

- RT/Like &amp; Join https://t.co/d8byyAvJZS

#Cashgiveaway #Airdrop #BUSD #USDT #USDC #Giveaway #NFTGive…"
3,2023-04-23,"💣 #IQ and 51 Others,  🟢 25 🔴 27

🇰🇷 132.91억원
🇺🇸 $11,373,142
🇯🇵 ¥1,249,207,154
🇪🇺 €9,625,987
🇨🇳 73,421,886元

🎉Upflow volume Now, Upbit(Korea)
#IQ #ZIL #ICX #BTC #MLK #ETH #ETC #LSK #MASK #APT #IOST #SRM #HUM #DOGE #PUNDIX #PLA #HUNT #CBK #AAVE #GMT #HBAR #SOL #META # https://t.co/YIPO9DqXzK"
4,2023-04-23,"💣 #POLYX and 56 Others,  🟢 22 🔴 35

🇰🇷 173.9억원
🇺🇸 $14,880,657
🇯🇵 ¥1,634,466,769
🇪🇺 €12,594,674
🇨🇳 96,065,439元

🎉Upflow volume Now, Upbit(Korea)
#POLYX #HIFI #ZIL #BTC #MLK #ETH #SOL #LSK #IOST #MASK #HUM #T #PUNDIX #FCT2 #CBK #AAVE #AXS #GMT #HBAR #META #WAXP #MTL https://t.co/SHw32G1wji"
5,2023-04-23,"🚀 #IQ and 44 Others,  🟢 21 🔴 24

🇰🇷 69.15억원
🇺🇸 $5,917,299
🇯🇵 ¥649,946,371
🇪🇺 €5,008,277
🇨🇳 38,200,460元

🎉Upflow volume Now, Upbit(Korea)
#IQ #SXP #STX #ZIL #BTC #HIFI #ETH #LSK #IOST #MASK #HUM #DOGE #PUNDIX #CBK #AAVE #AXS #GMT #HBAR #META #WAXP #HUNT https://t.co/mI1n4UwTC8"
6,2023-04-23,"🚀 #IQ and 45 Others,  🟢 18 🔴 28

🇰🇷 68.51억원
🇺🇸 $5,862,707
🇯🇵 ¥643,950,085
🇪🇺 €4,962,071
🇨🇳 37,848,030元

🎉Upflow volume Now, Upbit(Korea)
#IQ #STX #BTC #ICX #APT #LSK #IOST #MASK #HUM #PUNDIX #GMT #CBK #AAVE #AXS #HBAR #META #WAXP #HUNT https://t.co/Bn3nsZ43wT"
7,2023-04-23,"RT @NFTHolders_org: $50 - 12 HOURS 💵

- RT/Like &amp; Join https://t.co/d8byyAvJZS

#Cashgiveaway #Airdrop #BUSD #USDT #USDC #Giveaway #NFTGive…"
8,2023-04-23,"Most people don’t know that I had a stress related brain injury. The people closest to me watched me beat it naturally. No medications, no doctors…hard work and patience 🙏🏿 #meta #dj #zoii #digitalartist #nftmusic #instagram #tiktok #telegenic #music #nft #web3 #video #radio https://t.co/oAZihM7Ylm"
9,2023-04-23,"RT @NFTHolders_org: $50 - 12 HOURS 💵

- RT/Like &amp; Join https://t.co/d8byyAvJZS

#Cashgiveaway #Airdrop #BUSD #USDT #USDC #Giveaway #NFTGive…"
